Plan,Goal_rus,Instruction_rus,Goal_eng,Instruction_eng
"Find(‘Cube’), MoveTo(‘Cube’), PickUpTable(‘Cube’), MoveTo(‘Chair’), PutOnChair(‘Cube’), Done",Переложи кубик на стул.,Найди кубик на столе. Подхвати его. Найди где стоит стул. Доедь до стула и положи кубик на стул.,Put the cube on the chair.,Find the cube on the table. Pick him up. Find where the chair is. Get to the chair and put the cube on the chair.
Кубик со стула,,,,
"Find(‘Cube’), MoveTo(‘Cube’), PickUpChair(‘Cube’), MoveTo(‘Drawer’), PutInDrawer(‘Cube’), Done",Убери кубик со стула в тумбочку.,Найди кубик и возьми его. Кубик лежит на стуле. Довези кубик до тумбочки. Положи кубик в ящик.,Put the cube from the chair in the nightstand.,Find the cube and take it. The cube is lying on a chair. Take the cube to the bedside table. Put the cube in the drawer.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpChair(‘Cube’), MoveTo(‘Box’), PutInBox(‘Cube’’), Done",Спрячь кубик в коробку.,"Кубик на стуле, доедь до него. Возьми кубик в руку. Теперь тебе надо найти коробку. Когда найдешь коробку, положи в неё кубик. Всё.",Hide the cube in the box.,"The cube is on the chair, get to it. Take the cube in your hand. Now you need to find the box. When you find the box, put the cube in it. That's it."
"Find(‘Cube’), MoveTo(‘Cube’), PickUpChair(‘Cube’), MoveTo(‘WhiteBox’), PutInBox(‘Cube’), Done",Выбрось кубик со стула в белую коробку.,Забери кубик со стула. Найди белую коробку. Тебе нужна именно белая. Доедь до этой коробки. Выбрось в неё кубик.,Throw the cube from the chair into the white box.,Take the cube from the chair. Find the white box. You need a white one. Get to this box. Throw a cube into it.
"Find(‘Cube’), MoveTo(‘Cube’), PickUpChair(‘Cube’), MoveTo(‘Table’), PutOnTable(‘Cube’), Done",Переложи кубик со стула на стол.,Найди стул с кубиком. Подними с него кубик. Доедь до стола и положи на него кубик. Сделано!,Move the cube from the chair to the table.,Find a chair with a cube. Pick up the cube from it. Get to the table and put the cube on it. Done!
Кубик из тумбочки,,,,
"MoveTo(‘Drawer’), PickUpDrawer(‘Cube’), MoveTo(‘Box’), PutInBox(‘Cube’), Done",Вытащи кубик из ящика и положи в коробку.,Найди тумбочку. В ящике тумбочки лежит кубик. Возьми его. Теперь найди коробку. Положи в коробку кубик. Готово.,Take the cube out of the drawer and put it in the box.,Find a nightstand. There is a cube in the drawer of the bedside table. Take it. Now find the box. Put a cube in the box. Done.
"MoveTo(‘Drawer’), PickUpDrawer(‘Cube’), MoveTo(‘WhiteBox’), PutInBox(‘Cube’), Done",Переложи кубик из тумбочки в белый контейнер.,Забери кубик из тумбочки. Найди белый контейнер и оставь кубик в нём.,Transfer the cube from the bedside table to a white container.,Take the cube out of the nightstand. Find a white container and leave the cube in it.
"MoveTo(‘Drawer’), PickUpDrawer(‘Cube’), MoveTo(‘Table’), PutOnTable(‘Cube’), Done",Положи кубик из ящика тумбочки на стол.,Подъедь к тумбочке. Вытащи кубик из ящика. Доедь до стола. Положи кубик на стол. Задание выполнено.,Put the cube from the drawer of the bedside table on the table.,Drive up to the bedside table. Pull the cube out of the drawer. Get to the table. Put the cube on the table. The task is completed.
"MoveTo(‘Drawer’), PickUpDrawer(‘Cube’), MoveTo(‘Chair’), PutOnChair(‘Cube’), Done",Положи кубик на стул.,Возьми кубик из ящика тумбочки. Найди стул и доедь до него. Положи кубик на стул.,Put the cube on the chair.,Take a cube from the drawer of the nightstand. Find a chair and get to it. Put the cube on the chair.
,,,,
Игрушка с пола,,,,
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpFloor(‘ToyCat’), MoveTo(‘Drawer’), PutInDrawer(‘ToyCat’), Done",Спрячь игрушечную кошку в тумбочку.,Найди игрушку в виде кошки. Возьми её. Довези игрушку до тумбочки. Спрячь её в ящик. Готово.,Hide the toy cat in the nightstand.,Find a toy in the form of a cat. Take her. Take the toy to the bedside table. Put it in the drawer. Done.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpFloor(‘ToyCat’), MoveTo(‘Box’), PutInBox(‘ToyCat’), Done",Убери плюшевую кошку в ящик.,Найди на полу плюшевую кошку. Подними её. Найди ящик и подъедь к нему. Опусти кошку в ящик.,Put the stuffed cat in the drawer.,Find a stuffed cat on the floor. Pick it up. Find the box and drive up to it. Put the cat in the box.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpFloor(‘ToyCat’), MoveTo(‘WhiteBox’), PutInBox(‘ToyCat’), Done",Сложи игрушечного котенка в белый контейнер.,"На полу лежит игрушечный котенок, найди его. Возьми игрушку в руку. Найди белый контейнер. Положи котёнка в контейнер.",Put the toy kitten in a white container.,"There is a toy kitten on the floor, find it. Take the toy in your hand. Find the white container. Put the kitten in the container."
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpFloor(‘ToyCat’), MoveTo(‘Table’), PutOnTable(‘ToyCat’), Done",Положи плюшевого котенка на стол.,"Сначала тебе надо найти, где на полу лежит плюшевый котенок. Подбери эту игрушку. Найди, где стоит стол. Подъедь к нему. Положи игрушку на стол. Ты справился!",Put the stuffed kitten on the table.,First you need to find where the stuffed kitten is lying on the floor. Pick up this toy. Find where the table is. Drive up to him. Put the toy on the table. You did it!
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpFloor(‘ToyCat’), MoveTo(‘Chair’), PutOnChair(‘ToyCat’), Done",Убери мягкую игрушку со стола на стул.,Найди игрушечную кошку. Подними эту игрушку. Доедь до стула и положи на него игрушку.,Remove the stuffed toy from the table to the chair.,Find a toy cat. Pick up this toy. Get to the chair and put the toy on it.
Игрушка со стола,,,,
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpTable(‘ToyCat’), MoveTo(‘Drawer’), PutInDrawer(‘ToyCat’), Done",Спрячь игрушку со стола в тумбочку.,Подъедь к столу и возьми с него игрушечную кошку. Подъедь к тумбочке и спрячь в ящик игрушку.,Hide the toy from the table in the nightstand.,Drive up to the table and take a toy cat from it. Drive up to the bedside table and hide the toy in the drawer.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpTable(‘ToyCat’), MoveTo(‘Box’), PutInBox(‘ToyCat’’), Done","Сложи плюшевого котенка, который лежит на столе, в контейнер.",Найди плюшевого котенка и подъедь к нему. Возьми игрушку. Доедь до контейнера. Опусти плюшевого котенка в контейнер.,Fold the stuffed kitten that is lying on the table into a container.,Find a stuffed kitten and drive up to him. Take the toy. Get to the container. Put the stuffed kitten in the container.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpTable(‘ToyCat’), MoveTo(‘WhiteBox’), PutInBox(‘ToyCat’), Done",Убери кошку в белый ящик.,Найди игрушку кошку. Захвати её. Довези до белого ящик и положи в него. Готово.,Put the cat in the white box.,Find a cat toy. Grab her. Take the box to the white one and put it in it. Done.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpTable(‘ToyCat’), MoveTo(‘Chair’), PutOnChair(‘ToyCat’), Done",Переложи мягкую игрушку со стола на стул.,Найди игрушечную кошку и возьми её. Доедь до стула. Опусти игрушку ну стул.,Move the soft toy from the table to the chair.,Find a toy cat and take it. Get to the chair. Put the toy down on the chair.
Игрушка со стула,,,,
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpChair(‘ToyCat’), MoveTo(‘Drawer’), PutInDrawer(‘ToyCat’), Done",Убери игрушку со стула в ящик.,"Найди игрушечного котенка, который лежит на стуле. Возьми его в руку. Доедь до тумбочки. Убери мягкую игрушку в ящик.",Put the toy away from the chair in the drawer.,Find a toy kitten lying on a chair. Take it in your hand. Get to the bedside table. Put the stuffed toy in the drawer.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpChair(‘ToyCat’), MoveTo(‘Box’), PutInBox(‘ToyCat’’), Done",Выброси мягкую игрушку в контейнер.,"Мягкая игрушка лежит на стуле, найди её. Подними игрушечного котенка со стула. Довези его до контейнера и выброси. ",Throw the stuffed toy into the container.,"A stuffed toy is lying on a chair, find it. Pick up the toy kitten from the chair. Take it to the container and throw it away."
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpChair(‘ToyCat’), MoveTo(‘WhiteBox’), PutInBox(‘ToyCat’), Done",Переложи игрушку кота со стула в белую коробку.,Найди игрушку кота. Возьми её. Довези до белой коробки и опусти туда. Сделано.,Move the cat toy from the chair to the white box.,Find a cat toy. Take her. Take it to the white box and put it there. Made by.
"Find(‘ToyCat’), MoveTo(‘ToyCat’), PickUpChair(‘ToyCat’), MoveTo(‘Table’), PutOnTable(‘ToyCat’), Done","Положи плюшевую кошку, лежащую на стуле, на стол","Выясни, где находится плюшевая кошка. Доедь до неё. Подними её со стула и довези до стола. Положи игрушку на стол.",Put a stuffed cat lying on a chair on the table,Find out where the stuffed cat is. Get to her. Pick her up from the chair and take her to the table. Put the toy on the table.
Игрушка из тумбочки,,,,
"MoveTo(‘Drawer’), PickUpDrawer(‘ToyCat’), MoveTo(‘Box’), PutInBox(‘ToyCat’), Done",Вытащи игрушечную кошку из ящика и переложи в контейнер.,"Игрушечная кошка лежит в ящике тумбочки. Доедь до неё. Открой ящик и возьми игрушку. Теперь тебе надо доехать до контейнера. Когда доедешь, положи кошку в контейнер.",Take the toy cat out of the box and put it in a container.,"A toy cat is lying in the drawer of the bedside table. Get to her. Open the drawer and take the toy. Now you need to get to the container. When you get there, put the cat in the container."
"MoveTo(‘Drawer’), PickUpDrawer(‘ToyCat’), MoveTo(‘WhiteBox’), PutInBox(‘ToyCat’), Done",Переложи плюшевую кошку из тумбочки в белую коробку.,Доедь до тумбочки. Достать из тумбочки плюшевую игрушку. Теперь доедь то белой коробки. Опусти игрушку в коробку.,Move the stuffed cat from the bedside table into a white box.,Get to the bedside table. Get a plush toy from the nightstand. Now finish that white box. Put the toy in the box.
"MoveTo(‘Drawer’), PickUpDrawer(‘ToyCat’), MoveTo(‘Table’), PutOnTable(‘ToCat’), Done",Положи игрушку кошки из ящика тумбочки на стол.,Найди где стоит тумбочки. Вытащи из тумбочки игрушечную кошку. Доедь с ней до стола и положи её на него. Задание выполнено.,Put the cat toy from the nightstand drawer on the table.,Find where the bedside tables are. Pull out a toy cat from the nightstand. Take her to the table and put her on it. The task is completed.
"MoveTo(‘Drawer’), PickUpDrawer(‘ToyCat’), MoveTo(‘Chair’), PutOnChair(‘ToyCat’), Done",Забери из тумбочки игрушку и положи на стул.,Подъедь к тумбочке. Возьми из ящика игрушку. Отвези её к стулу и положи на него.,Take the toy out of the nightstand and put it on a chair.,Drive up to the bedside table. Take a toy from the drawer. Take her to a chair and put her on it.
,,,,
Овощ с пола,,,,
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpFloor(‘Pepper’), MoveTo(‘Drawer’), PutInDrawer(‘Pepper’), Done",Подними перец с пола и убери в ящик тумбочки.,Найди перец на полу. Подними его. Доедь до тумбочки. Убери перец в тумбочку.,Pick up the pepper from the floor and put it in the drawer of the bedside table.,Find the pepper on the floor. Pick it up. Get to the bedside table. Put the pepper in the nightstand.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpFloor(‘Pepper’), MoveTo(‘Box’), PutInBox(‘Pepper’), Done",Выброси перец в коробку.,Найди перец. Возьми перец. Теперь подъедь к коробке. Выброси перец в коробку.,Throw the pepper in the box.,Find the pepper. Take the pepper. Now drive up to the box. Throw the pepper in the box.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpFloor(‘Pepper’), MoveTo(‘WhiteBox’), PutInBox(‘Pepper’), Done",Положи перец в белую коробку.,Сначала тебе надо найти где лежит перец. Подъедь к нему и подними. После этого тебе надо доехать до белой коробки и положить в неё перец. Теперь всё.,Put the pepper in a white box.,"First you need to find where the pepper is. Drive up to him and lift him up. After that, you need to get to the white box and put the pepper in it. That's it now."
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpFloor(‘Pepper’), MoveTo(‘Table’), PutOnTable(‘Pepper’), Done",Положи перец на стол.,"Найди, где лежит перец. Подними его. Довези до стола и положи на него.",Put the pepper on the table.,Find where the pepper is. Pick it up. Take it to the table and put it on it.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpFloor(‘Pepper’), MoveTo(‘Chair’), PutOnChair(‘Pepper’), Done",Переложи перец с пола на стул.,"Найди, где на полу лежит перец. Подъеде к нему. Возьми перец. Доедь до стула. Положи перец на стул.",Transfer the pepper from the floor to a chair.,Find where the pepper is on the floor. Drive up to him. Take the pepper. Get to the chair. Put the pepper on the chair.
Овощ со стола,,,,
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpTable(‘Pepper’), MoveTo(‘Drawer’), PutInDrawer(‘Pepper’), Done",Убери перец со стола в тумбочку.,"Найди перец, лежащий на столе. Подними его со стола. Донеси его до тумбочки и убери в ящик.",Remove the pepper from the table to the nightstand.,Find the pepper lying on the table. Pick it up from the table. Take it to the bedside table and put it in the drawer.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpTable(‘Pepper’), MoveTo(‘Box’), PutInBox(‘Pepper’), Done",Выкини перец в коробку.,"Найди, где перец лежит. Возьми перец и довези до коробки. Выброси его. туда. Готово.",Throw the pepper in the box.,Find where the pepper is. Take the pepper and take it to the box. Throw it away. there. Done.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpTable(‘Pepper’),  MoveTo(‘WhiteBox’), PutInBox(‘Pepper’), Done",Выброси перец в белый контейнер.,"Сначала найди, где лежит перец и подъедь к нему. Схвати перец. Довези его до белого контейнера. Выброси перец в контейнер.",Throw the pepper into a white container.,First find where the pepper is and drive up to it. Grab the pepper. Take him to the white container. Throw the pepper in the container.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpTable(‘Pepper’), MoveTo(‘Chair’), PutOnChair(‘Pepper’), Done",Переложи перец со стола на стул.,Найди перец. Возьми его. Довези до стула. Положи на стул. Готово.,Transfer the pepper from the table to the chair.,Find the pepper. Take it. Take me to the chair. Put it on a chair. Done.
Овощ со стула,,,,
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpChair(‘Pepper’), MoveTo(‘Drawer’), PutInDrawer(‘Pepper’), Done",Спрячь перец со стула в тумбочку.,"Найди перец, который лежит на стуле. Возьми этот перец. Отвези его к тумбочке. Положи его в ящик.",Hide the pepper from the chair in the nightstand.,Find the pepper that's lying on the chair. Take this pepper. Take him to the bedside table. Put it in the drawer.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpChair(‘Pepper’), MoveTo(‘Box’), PutInBox(‘Pepper’), Done","Положи перец, лежащий на стуле, в коробку.","Найди, где лежит перец. Доедь до него. Подними перец. Довези его до коробки. Опусти перец в коробку.",Put the pepper lying on the chair in the box.,Find where the pepper is. Get to him. Pick up the pepper. Take him to the box. Put the pepper in the box.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpChair(‘Pepper’), MoveTo(‘WhiteBox’), PutInBox(‘Pepper’), Done",Переложи перец в белый контейнер.,Найди перец. Подъедь к нему и возьми. Доедь до белого контейнера. Положи перец в контейнер. Ты выполнил задание.,Transfer the pepper to a white container.,Find the pepper. Drive up to him and take it. Get to the white container. Put the pepper in the container. You have completed the task.
"Find(‘Pepper’), MoveTo(‘Pepper’), PickUpChair(‘Pepper’), MoveTo(‘Table’), PutOnTable(‘Pepper’), Done",Положи перец на стол.,"Сначала тебе надо найти, где лежит перец, и подъехать к нему. Потом тебе надо его взять. После этого ты должен доехать до стола. Теперь можешь положить перец на стол. Ты справился.",Put the pepper on the table.,"First you need to find where the pepper is and drive up to it. Then you need to take it. After that, you have to get to the table. Now you can put the pepper on the table. You did it."
Овощ из тумбочки,,,,
"MoveTo(‘Drawer’), PickUpDrawer(‘Pepper’), MoveTo(‘Box’), PutInBox(‘Pepper’), Done",Переложи перец из ящика в коробку.,Подъедь к тумбочке. Достань из ящика перец. Доедь до коробки. Опусти перец в коробку.,Transfer the pepper from the box to the box.,Drive up to the bedside table. Get the pepper out of the drawer. Get to the box. Put the pepper in the box.
"MoveTo(‘Drawer’), PickUpDrawer(‘Pepper’), MoveTo(‘WhiteBox’), PutInBox(‘Pepper’), Done",Переложи перец из тумбочки в белый контейнер.,"Во-первых, доедь до тумбочки. Во-вторых, выдвини ящик и возьми перец, В-третьих, доедь именно до белого контейнера. В-четвертых, положи перец в этот контейнер. Теперь задание выполнено.",Transfer the pepper from the bedside table to a white container.,"First, get to the bedside table. Secondly, pull out the drawer and take the pepper, And thirdly, reach exactly to the white container. Fourth, put the pepper in this container. Now the task is completed."
"MoveTo(‘Drawer’), PickUpDrawer(‘Pepper’), MoveTo(‘Table’), PutOnTable(‘Pepper’), Done","Положи перец, лежащий в тумбочке, на стол.","Найди, где стоит тумбочка. Открой её и возьми перец. Доедь с ним до стола. Опусти перец на стол.",Put the pepper lying in the nightstand on the table.,Find where the nightstand is. Open it and take the pepper. Take him to the table. Put the pepper on the table.
"MoveTo(‘Drawer’), PickUpDrawer(‘Pepper’), MoveTo(‘Chair’), PutOnChair(‘Pepper’), Done",Перевези перец из тумбочки на стул.,Доедь до тумбочки. Возьми из неё перец. Довези его до стула. Положи на стул. Готово.,Move the pepper from the bedside table to the chair.,Get to the bedside table. Take the pepper out of it. Take him to the chair. Put it on a chair. Done.
,,,,
Перемещения из комнаты в комнату,,,,
MoveTo(‘LivingRoom’),Доедь до гостиной.,Тебе надо выехать из кабинета и доехать до гостиной.,Get to the living room.,You need to leave the office and get to the living room.
MoveTo(‘Office’),Переедь в кабинет.,"Проедь через дверь, чтобы оказаться в кабинете.",Move into the office.,Drive through the door to get into the office.
